
# File: Shinjitai-Kyūjitai.txt
# Version: 1.74
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: Compatibility
U+2DC5A U+6FDA	*
U+2E230 U+261B1	*
U+2E89A U+9445	*
U+6CF6 U+6ECE	*
U+899A U+89AE	*
U+9D2C U+9DAF	*
U+2B7A2 U+7296	*
U+2C488 U+40D5	*
U+2DE3C U+7469	*
U+30D23 U+2E5F5	*

# Group: 覇・霸
U+8987 U+9738
U+3D9A U+705E	*
U+2383D U+6B1B	*
U+2D40F U+58E9	*
U+2D7E7 U+2297B	*

# Group: 竜・龍
U+7ADC U+9F8D
U+6EDD U+7027
U+69DE U+6AF3	*
U+7BED U+7C60	*
U+22946 U+2D7EC	*
U+20EA0 U+56A8	*
U+213E1 U+58E0	*
U+22CA3 U+650F	*
U+2526B U+77D3	*
U+25A9D U+2A69A	*
U+273F5 U+882C	*
U+27BC7 U+8C45	*
U+280F8 U+8E98	*
U+28EEB U+96B4	*
U+29131 U+9747	*
U+2AC68 U+6727	*
U+2AC68 U+268AB	*
U+2B8CF U+5131	*
U+2BCED U+5BF5	*
U+2BD0B U+21B08	*
U+2C099 U+2A6A4	*
U+2C3D1 U+24CFD	*
U+2E13F U+9F98	*
U+301A5 U+9F8E	*
U+31964 U+23C35	*
U+31BDA U+74CF	*
U+31EE2 U+264AE	*

# Group: 亀・龜
U+4E80 U+9F9C
U+49B0 U+28DFA	*
U+29C18 U+9B2E	*
U+4C17 U+9B2E	*
U+7A50 U+9F9D	*
U+20F13 U+2A6A9	*
U+2ACE5 U+6AF7	*
U+2B81D U+2A6C6	*
U+2B8D2 U+313DC	*
U+2D497 U+4DAF	*

# EOF
