
# File: Layout.txt
# Date: 2023-06-05
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+2AC79 U+233F6
U+241A9 U+23CB1
U+2A8BF U+2127A
U+2B48E U+6DFE
U+6652 U+3057F
U+2D5E2 U+5DBD
U+6639 U+3AE4
U+543D U+30827
U+21E6C U+21EA9
U+401B U+30953
U+2A967 U+2BC0F
U+21E36 U+5D07
U+5C84 U+3038B
U+21D5A U+5C95
U+5C92 U+5C91
U+754D U+754C
U+2429E U+3DC3
U+4D74 U+2B71E
U+2A4F0 U+2A4F5
U+4D76 U+2A4DF
U+4D77 U+9F03
U+6743 U+305D2
U+6656 U+6655
U+6689 U+6688
U+26469 U+7FEC
U+581A U+21366
U+21EA0 U+37E6
U+5D83 U+5D84
U+21E17 U+21E32
U+21EA4 U+5D50
U+5D7D U+21EFA
U+5DBE U+21F78
U+2AA37 U+303A0
U+5DD7 U+5DD6
U+21F79 U+5DBA
U+2D5E3 U+21F60
U+23859 U+2385A
U+2A20E U+2A210
U+29629 U+2962C
U+2B5C1 U+2B5C2
U+9B8A U+29D91
U+21EA2 U+5D31
U+21FAE U+2D5F4
U+29D5A U+29D58
U+322CB U+2964C
U+2B5BE U+322C7
U+2964D U+322CA
U+322C8 U+2CC82
U+29218 U+2CC20
U+3038C U+21D5D
U+2BAAB U+2BAA9
U+4D0D U+9E0E
U+25886 U+25885
U+29182 U+29183
U+6896 U+27D3F
U+6824 U+2344F
U+24017 U+31A58
U+21F9D U+21FA8
U+21F9F U+21FA0
U+2D1F3 U+2D1F2
U+5D95 U+5DA3
U+2A8F8 U+2A8F6
U+2A9B2 U+21913
U+25122 U+23425
U+70DF U+2DD1C
U+2575B U+2575A
U+4CAA U+29FAA
U+2B842 U+2B841
U+3740 U+21958
U+21953 U+23AEE
U+20449 U+2B908
U+37F4 U+5D6C
U+7805 U+6CF5
U+381C U+5DB7
U+231D0 U+3AF1
U+2549E U+2C48C
U+868F U+2724E
U+2BE25 U+223B4
U+2AC42 U+2C051
U+23301 U+23302
U+20BF2 U+8099
U+2A83C U+30B84
U+21D7C U+21D56
U+79C8 U+37C0
U+3AFB U+2C03F
U+2DA11 U+2DA23
U+5730 U+2D37D
U+254A6 U+25483
U+21E88 U+21E9E
U+2327D U+305A9
U+2A159 U+9DD8
U+20C4B U+20C2C
U+439F U+2171A
U+412D U+79CA
U+37C1 U+5CB8
U+37EA U+5D54
U+24CA9 U+2DEDE
U+233B7 U+6730
U+2BB56 U+340B
U+2574E U+30039
U+2C58B U+3418
U+6644 U+6643
U+5D3C U+2AA43
U+26467 U+7FE8
U+21D8C U+5CA9
U+25422 U+21DAA
U+254AD U+28002
U+22B51 U+21C69
U+21DD5 U+21DF1
U+7203 U+2C13E
U+24C68 U+7570
U+26496 U+7FFC
U+5D6A U+5D69
U+29AC1 U+306AB
U+7FA4 U+7FA3
U+24EBD U+3FCF
U+21471 U+21473
U+5724 U+2A8B1
U+4682 U+27E66
U+4685 U+2785B
U+23050 U+658D
U+27892 U+27893
U+2B320 U+2784A
U+278AB U+278A6
U+5D38 U+21E8B
U+21EAD U+21EC3
U+2B0BA U+7568
U+21E28 U+21E18
U+2A824 U+20B1B
U+5CE8 U+5CE9
U+298E3 U+298E8
U+37B9 U+5CA2
U+5475 U+2D1CE
U+2BA6E U+867D
U+2EB5E U+2A20C
U+7CA0 U+7CAA
U+772F U+2517C
U+7ACD U+8F9B
U+7ACD U+2840B

# Group: ⿰①②・⿱②①
U+281A3 U+8E89	≈
U+281FC U+2E72D	≈
U+2E727 U+30E37	≈
U+8E83 U+8E84	≈
U+2818C U+2819C	≈
U+8E64 U+28126	≈
U+481E U+8E59	≈
U+8E2B U+2809D	≈
U+8DD6 U+28002	≈
U+24BC4 U+24BC1
U+86C0 U+27249
U+86C0 U+27276
U+86D9 U+45AF
U+880F U+87F9
U+4C92 U+29F20
U+782B U+2E012
U+5472 U+5470
U+7726 U+7725
U+7D2A U+7D2B
U+8A3F U+8A3E
U+23411 U+67F4
U+6787 U+6788
U+9AB4 U+29A31
U+2A551 U+2A54A
U+27313 U+2731B
U+23960 U+23957
U+29F0E U+29F22
U+29F37 U+29F38
U+29EFF U+29EDC
U+54BE U+3588
U+54BE U+439B
U+28344 U+485E
U+80F8 U+80F7
U+2665E U+26644
U+2723A U+27229
U+27D30 U+8CA3
U+362B U+5753
U+6982 U+3BA3
U+69EA U+69E9
U+218B6 U+21895
U+25F39 U+25F42
U+27E3F U+27E39
U+6739 U+6742
U+9F3D U+2A592
U+2AF47 U+24C1A
U+3564 U+53F4
U+7133 U+24299
U+307E1 U+71D9
U+940B U+2E8CB
U+27565 U+27564
U+2DAC6 U+2DAC5
U+244A6 U+244A5
U+31B2C U+244A1
U+6A62 U+3BD0
U+470F U+4710
U+5AF7 U+21859
U+21426 U+58AE
U+8843 U+275AF
U+32017 U+275B1
U+2E560 U+2C83C
U+279DC U+279E7
U+6980 U+55BF
U+2BC9A U+5B41
U+26262 U+26263
U+24F38 U+2B83F
U+2A13B U+2A18A
U+4955 U+9405
U+8CE6 U+477E
U+2CDDC U+2B6C1
U+3E2E U+2461D
U+3149A U+20C80
U+23500 U+26C9C
U+5423 U+5422
